UserId,ProfileName,Score
A3SGXH7AUHU8GW,delmartian,5
A1D87F6ZCVE5NK,dll pa,1
ABXLMWJIXXAIN,"Natalia Corres ""Natalia Corres""",4
A395BORC6FGVXV,Karl,2
A1UQRSCLF8GW1T,"Michael D. Bigham ""M. Wassir""",5
ADT0SRK1MGOEU,Twoapennything,4
A1SP2KVKFXXRU1,David C. Sullivan,5
A3JRGQVEQN31IQ,Pamela G. Williams,5
A1MZYO9TZK0BBI,R. James,5
A21BT40VZCCYT4,Carol A. Reed,5
A3HDKO7OW0QNK4,Canadian Fan,5
A2725IB4YY9JEB,"A Poeng ""SparkyGoHome""",5
A327PCT23YH90,LT,1
A18ECVX2RJ7HUE,"willie ""roadie""",4
A2MUGFV2TDQ47K,"Lynrie ""Oh HELL no""",5
A1CZX3CP8IKQIJ,Brian A. Lee,5
A3KLWF6WQ5BNYO,Erica Neathery,2
AFKW14U97Z6QO,Becca,5
A2A9X58G2GTBLP,Wolfee1,5
A3IV7CL2C13K2U,Greg,5
A1WO0KGLPR5PV6,mom2emma,5
AZOF9E17RGZH8,Tammy Anderson,5
ARYVQL4N737A1,Charles Brown,5
AJ613OLZZUG7V,Mare's,5
A22P2J09NJ9HKE,"S. Cabanaugh ""jilly pepper""",5
A3FONPR03H3PJS,"Deborah S. Linzer ""Cat Lady""",5
A3RXAU2N8KV45G,lady21,1
AAAS38B98HMIK,Heather Dube,4
A2F4LZVGFLD1OB,DaisyH,5
A3HDKO7OW0QNK4,Canadian Fan,5
AFM0O9480F04W,Sherril,5
A31OQO709M20Y7,"Molly V. Smith ""staral""",5
AOVROBZ8BNTP7,S. Potter,4
A3PMM0NFVEJGK9,"Megan ""Bad at Nicknames""",4
A2EB6OGOWCRU5H,CorbyJames,5
A2CI0RLADCRKPF,T. J. Ryan,4
A1MYS9LFFBIYKM,"Abby Chase ""gluten free""",5
A3MGP2E1ZZ6GRB,"Zardoz ""focuspuller""",5
A2GHZ2UTV2B0CD,JERRY REITH,4
AO80AC8313NIZ,kYpondman,5
AQCY5KRO7489S,Garrett,5
A1WK4ALVZDYPUE,"Dick Baldwin ""christobe""",5
A16XFOYQSJREL7,Roger Pugliese,5
A17DW6SUOC70DJ,Mother of 9,5
A2G7B7FKP2O2PU,D. Leschke,5
A39Z97950MCTQE,K. A. Freel,3
AQLL2R1PPR46X,grumpyrainbow,5
A26AY1TFK8BQXQ,"kbogo ""shoelover""",3
ALOR97KTZTK1P,knitty pants,4
A276999Y6VRSCQ,JMay,3
A108P30XVUFKXY,Roberto A,1
A3S5KJDA6ED2PS,Mike Kaser,5
A9L6L5H9BPEBO,Edwin C. Pauzer,4
AQ9DWWYP2KJCQ,"Roel Trevino ""protomex""",3
A1ND7WC5LXOU48,"David Belton ""Proteus 1""",4
A2EFAW1P3DRXWO,TJ Fairfax,5
A202WR509428VF,amateur amazon shopper,5
ASCNNAJU6SXF8,S. Beck,5
A2A7KXM9B4XW90,"P. Kelso ""Amazon all the way!""",5
A2QOGOXPOVKAJG,mimimc,5
A1ZR8O62VSU4OK,"Lisa J. Szlosek ""lisa""",3
A7ZK2A3VIW7X9,Peggy,5
A1E09XGZUR78C6,gary sturrock,1
A3HR0ZZOFKQ97N,RLC,5
A2XIHNXODNZGV4,"ChemProf ""chem professor""",5
A3TWF9DQ6MU87E,dhy4b,5
AEFIZIJ1FK1BK,Doug,5
A8OFFIAL6XTOH,Bill Shirer,2
A1KL2LAW08X6UQ,calmnsense,3
AWCBF2ZWIN57F,C. Salcido,5
A27TKQHFW0FB5N,Chet,5
A3BDOAPSF96WGQ,2tall,5
ATYMT48R62ENE,Marie,5
A25VFHVGI4CFTP,Diana Robinson,1
A3Q0IDQ03S0158,Jen,2
A27TZ4WBU7N0YF,I. So,1
A2W3ABLWMJ84NS,Jessica Snyder,5
A26M5O53PHZTKN,"Debs ""peanut""",5
A2AB7M9UCNBVN7,sharonh4,3
A3H1EQD2PBC085,jmc,5
AB30HQTI5VOLR,Melinda Bishop,5
AZLONLC8OZPEC,John W. Hollis,4
A2VOZX7YBT0D6D,"Johnnycakes ""Johnnycakes""",5
A1FD9E5C06UB6B,BRENDA DEMERS,3
AK2CXHH9VRZ2A,I. GLENN,3
A25BGFRHYHEZKK,Toby's mom,5
A37N9XZBB8JYOF,Ash52,5
A1T4L0Q47OZ9N,Wendy,5
A3IMXZE9FCUNOC,Dana,5
A1EC57S6C2VLTL,"Lorraine ""Agelechio""",5
A1OGD72Y2Y26CF,Lisas201,5
A7JWCYVPF7KCO,gare,5
ABG53EBZBKD23,"J. Romagnoli ""*jroma""",5
A3AF72GP4GVRY1,John D. Meara,5
A1DJAAKLPCJRZD,wendy,5
A1BFNM27629VAV,E. Triebe,5
A18AAABCIJKC5Q,Rhiever,5
A3UII2114114PI,"FuNky Faja ""SiLkk""",5
ABZ9F0D94YK45,Amazon-tron 3000,5
A2P6ACFZ8FTNVV,Melissa Benjamin,1
A1SYSKR79LA2CB,"Mycroft ""Virture is its own punishment""",5
A3D1TXE98KRKYO,"Danny ""The Student""",4
AVCA516CFZ9HF,S. Fowler,4
A1P21J0DMTVGS7,Lovethemovies,5
AL3E5V6MXO9B0,pionex1796,5
A2O9G2521O626G,Rachel Westendorf,5
A1ZKFQLHFZAEH9,"S. J. Monson ""world citizen""",3
A30835UIR6F8KB,Adam E. Smith,5
A10EHUTGNC4BGP,M. Foell,5
AY12DBB0U420B,Gary Peterson,5
A1VKJN5Y1C7S5Y,"Wilhelmina Robinson ""Wilhelmina Robinson &#34...",2
A3VEYLW2KPZNGK,G. Simmons,5
A2F65U0UDY7TAW,Aldo,5
AWNANZ5VUO7IB,John D. Zuccarino,5
A1Q4PJXI5HS5WT,ceecee,5
A2IX1B76ONTXEL,Cinderella,5
A3P60QLFDDCHOY,"Giordano ""GB""",5
A38BUM0OXH38VK,singlewinder,5
AD1WWGMEQ8FWW,Bob Rex,5
A2PM49X61MWZJV,DamiKris,5
A3A52DETIFZNZS,Sarah Wilson,5
A3L15C30CBPZOR,Cynthia G. Pate,5
A29SUR9R8ZU54B,Alfbo,5
